Project Type,Budget Line,Budget Line Title,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount,Total Budget $
AG,AG 0001,"IMPROVEMENTS TO PROPERTY USED BY DEPARTMENT FOR THE AGING, CITYWIDE",2019,3306783,3479000,2178000,1253000,10216783
AG,AG 0002,"PURCHASE OF AUTOS, COMPUTERS, OTHER EQUIP FOR THE AGING, CITYWIDE",2019,0,2342111,1403000,0,3745111
AG,AG MN235,"LENOX HILL NEIGHBORHOOD HOUSE, INC.",2019,50000,0,0,0,50000
BR,BR 0231,"QUEENSBORO BRIDGE, REHABILITATION",2019,141151222,0,0,0,141151222
BR,BR 0253,RECONSTRUCTION OF WILLIAMSBURG BRIDGE,2019,0,0,273760919,0,273760919
BR,BR 0270,REHABILITATION OF BROOKLYN BRIDGE,2019,289984124,0,0,15000000,304984124
BR,BR 0287,RECONSTRUCTION: MACOMBS DAM BRIDGE OVER HARLEM RIVER,2019,0,93499,0,0,93499
C,C  0075,"CORRECTION FACILITIES, CONSTRUCTION, RECONS & IMPROVEMENTS, CITYWIDE",2019,134751470,23330000,41300000,49384000,248765470
C,C  0101,"SECURITY SYSTEMS, VARIOUS FACILITIES",2019,0,0,1649995,0,1649995
C,C  0112,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF CORRECTION,2019,4160367,4277000,3761000,3599000,15797367
C,C  0114,"ACQUISITION, CONSTR., ETC. SUPPLEMENTARY HOUS. PROG. AND SUPPORT FACIL",2019,82877375,0,0,0,82877375
C,C  0117,"PURCHASE OF COMPUTER EQUIPMENT, ALL FACILITIES",2019,343871,0,4000000,3300000,7643871
C,C  0136,CORRECTION INDUSTRIES FACILITIES AND SUPPORT,2019,449000,0,0,0,449000
CO,CO 0080,27 MADISON AVE. - MANHATTAN APPELLATE DIVISION COURTHOUSE - 1ST DEPT.,2019,488500,0,0,0,488500
CO,CO 0081,31 CHAMBERS ST. - MANHATTAN SURROGATE'S COURT,2019,16689624,0,0,0,16689624
CO,CO 0264,"ACQUISITION, ADDS, CONSTRUCT, RECONSTRUCT, COURT FACILITIES, CITYWIDE",2019,27632498,202474000,163690000,160689000,554485498
CO,CO 0276,100 RICHMOND TERR. - STATEN ISLAND FAMILY COURT,2019,0,2462780,0,0,2462780
CO,CO 0278,360 ADAMS ST. - BROOKLYN  SUPREME COURT,2019,0,12748386,3000000,0,15748386
CO,CO 0290,NEW BRONX CRIMINAL COURT - PHASE 1,2019,50123,140000,705000,0,895123
